order_item_id,order_id,product_id,quantity,discount_pct,gross_amount,discount_amount,net_amount
OI0000001,O003152,P0236,1,0,1113.12,0.0,1113.12
OI0000002,O009116,P0155,2,20,94514.76,18902.95,75611.81
OI0000003,O009422,P0295,4,10,185205.72,18520.57,166685.15
OI0000004,O004724,P0188,4,20,167241.68,33448.34,133793.34
OI0000005,O009193,P0209,4,0,38253.8,0.0,38253.8
OI0000006,O007567,P0073,2,0,38260.96,0.0,38260.96
OI0000007,O009433,P0096,4,5,69144.6,3457.23,65687.37
OI0000008,O008648,P0011,3,0,11932.23,0.0,11932.23
OI0000009,O004095,P0004,2,20,46580.12,9316.02,37264.1
OI0000010,O001767,P0051,4,0,146881.6,0.0,146881.6
OI0000011,O009715,P0294,4,0,114967.32,0.0,114967.32
OI0000012,O008107,P0051,1,15,36720.4,5508.06,31212.34
OI0000013,O009523,P0048,2,15,95461.0,14319.15,81141.85
OI0000014,O002810,P0292,4,0,53493.64,0.0,53493.64
OI0000015,O009313,P0281,2,10,69683.82,6968.38,62715.44
OI0000016,O008844,P0133,2,5,28901.62,1445.08,27456.54
OI0000017,O005213,P0069,3,5,60679.17,3033.96,57645.21
OI0000018,O004748,P0023,4,0,15685.4,0.0,15685.4
OI0000019,O009245,P0014,3,15,28836.18,4325.43,24510.75
OI0000020,O009065,P0180,4,0,5571.92,0.0,5571.92
OI0000021,O009277,P0087,2,10,35817.96,3581.8,32236.16
OI0000022,O006804,P0048,2,20,95461.0,19092.2,76368.8
OI0000023,O004066,P0161,2,5,26548.0,1327.4,25220.6
OI0000024,O005934,P0294,2,0,57483.66,0.0,57483.66
OI0000025,O002807,P0006,4,20,122108.64,24421.73,97686.91
OI0000026,O009886,P0149,1,10,14508.05,1450.8,13057.25
OI0000027,O005299,P0027,2,10,98890.02,9889.0,89001.02
OI0000028,O001473,P0134,4,10,40420.24,4042.02,36378.22
OI0000029,O003740,P0296,2,0,64674.42,0.0,64674.42
OI0000030,O003379,P0153,1,15,26067.55,3910.13,22157.42
OI0000031,O005116,P0190,4,0,88176.16,0.0,88176.16
OI0000032,O009480,P0079,2,5,27714.48,1385.72,26328.76
OI0000033,O009767,P0046,3,10,5592.63,559.26,5033.37
OI0000034,O009404,P0061,1,15,34595.91,5189.39,29406.52
OI0000035,O001619,P0081,3,15,22187.58,3328.14,18859.44
OI0000036,O008848,P0273,3,0,119196.09,0.0,119196.09
OI0000037,O000395,P0048,2,15,95461.0,14319.15,81141.85
OI0000038,O000472,P0033,3,15,63103.47,9465.52,53637.95
OI0000039,O009910,P0018,4,10,79577.44,7957.74,71619.7
OI0000040,O007180,P0036,1,25,38767.98,9692.0,29075.98
OI0000041,O003364,P0089,4,5,102430.4,5121.52,97308.88
OI0000042,O004153,P0148,3,15,30569.1,4585.36,25983.74
OI0000043,O008656,P0100,4,10,154677.56,15467.76,139209.8
OI0000044,O009154,P0031,1,5,18283.0,914.15,17368.85
OI0000045,O000602,P0021,3,15,140899.83,21134.97,119764.86
OI0000046,O004612,P0128,1,5,19395.43,969.77,18425.66
OI0000047,O002781,P0290,2,10,51931.16,5193.12,46738.04
OI0000048,O006800,P0230,2,10,74914.92,7491.49,67423.43
OI0000049,O000022,P0185,4,10,57672.6,5767.26,51905.34
OI0000050,O007275,P0165,4,10,10261.52,1026.15,9235.37
OI0000051,O002474,P0257,3,0,30089.13,0.0,30089.13
OI0000052,O007407,P0057,3,0,104742.42,0.0,104742.42
OI0000053,O008231,P0159,2,0,56198.04,0.0,56198.04
OI0000054,O003829,P0023,2,15,7842.7,1176.4,6666.3
OI0000055,O007830,P0107,1,15,10426.34,1563.95,8862.39
OI0000056,O008222,P0102,2,10,4770.9,477.09,4293.81
OI0000057,O007582,P0099,2,25,2307.62,576.9,1730.72
OI0000058,O002209,P0130,1,5,34827.64,1741.38,33086.26
