order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state
O000001,11824,2024-05-27,Delivered,Net Banking,Ludhiana,West Bengal
O000002,12012,2024-12-07,Delivered,Debit Card,Mumbai,Uttar Pradesh
O000003,12000,2025-05-09,Delivered,UPI,Ahmedabad,Karnataka
O000004,10411,2024-01-23,Delivered,COD,Delhi,Rajasthan
O000005,12293,2024-04-14,Delivered,Debit Card,Jaipur,Kerala
O000006,10387,2025-11-05,Delivered,Net Banking,Ludhiana,Punjab
O000007,11749,2025-08-01,Delivered,UPI,Jaipur,Delhi
O000008,12406,2025-07-11,Shipped,UPI,Ahmedabad,West Bengal
O000009,11022,2025-08-15,Delivered,Credit Card,Delhi,West Bengal
O000010,12070,2025-10-20,Delivered,Net Banking,Hyderabad,Kerala
O000011,10019,2024-08-09,Delivered,UPI,Kochi,Maharashtra
O000012,10276,2024-01-15,Delivered,Credit Card,Delhi,Uttar Pradesh
O000013,10659,2025-09-24,Delivered,Credit Card,Delhi,Rajasthan
O000014,10552,2024-03-18,Delivered,Net Banking,Delhi,Karnataka
O000015,10679,2024-11-17,Delivered,UPI,Jaipur,Uttar Pradesh
O000016,10603,2024-08-28,Delivered,UPI,Delhi,Karnataka
O000017,10365,2024-01-18,Delivered,COD,Ahmedabad,Karnataka
O000018,11974,2025-03-29,Returned,UPI,Kolkata,Punjab
O000019,10795,2025-03-18,Delivered,Credit Card,Lucknow,Uttar Pradesh
O000020,11359,2024-10-03,Shipped,Debit Card,Kochi,Rajasthan
O000021,11775,2025-02-27,Delivered,Net Banking,Ludhiana,Gujarat
O000022,10590,2025-04-20,Delivered,Debit Card,Bengaluru,Tamil Nadu
O000023,10199,2024-01-27,Returned,UPI,Bengaluru,Uttar Pradesh
O000024,12065,2025-05-28,Shipped,Credit Card,Kochi,Uttar Pradesh
O000025,10218,2025-04-08,Delivered,Debit Card,Bengaluru,Kerala
O000026,10741,2024-12-28,Delivered,Net Banking,Kolkata,Uttar Pradesh
O000027,10650,2025-01-17,Delivered,COD,Kolkata,Maharashtra
O000028,12195,2025-06-08,Delivered,Debit Card,Mumbai,Tamil Nadu
O000029,10670,2025-01-16,Delivered,COD,Lucknow,Telangana
O000030,11438,2024-07-02,Shipped,UPI,Kochi,Uttar Pradesh
O000031,10665,2024-07-12,Cancelled,UPI,Ludhiana,Uttar Pradesh
O000032,10856,2025-04-06,Delivered,Net Banking,Kochi,Maharashtra
O000033,12378,2024-02-25,Shipped,COD,Ahmedabad,Uttar Pradesh
O000034,10895,2024-08-17,Shipped,COD,Mumbai,Telangana
O000035,11894,2025-05-03,Delivered,Net Banking,Delhi,Delhi
O000036,11187,2024-01-28,Delivered,Debit Card,Ludhiana,Maharashtra
O000037,11843,2025-08-05,Delivered,Net Banking,Lucknow,Tamil Nadu
O000038,12149,2025-12-22,Shipped,UPI,Chennai,Kerala
O000039,10327,2024-07-02,Shipped,COD,Chennai,Maharashtra
O000040,12375,2025-02-28,Delivered,Credit Card,Kochi,Rajasthan
O000041,12058,2025-01-09,Delivered,Credit Card,Lucknow,Haryana
O000042,12401,2024-02-10,Shipped,UPI,Chennai,Kerala
O000043,10183,2025-04-28,Shipped,COD,Ludhiana,Karnataka
O000044,10455,2024-09-16,Delivered,COD,Mumbai,Telangana
O000045,11670,2025-03-16,Delivered,Net Banking,Kolkata,Haryana
O000046,10006,2024-03-24,Cancelled,Debit Card,Lucknow,Delhi
O000047,11357,2024-02-15,Delivered,Net Banking,Chennai,Delhi
O000048,10211,2025-03-15,Delivered,Credit Card,Ahmedabad,Tamil Nadu
O000049,10051,2025-11-01,Shipped,COD,Ludhiana,Tamil Nadu
O000050,11469,2025-06-02,Delivered,Debit Card,Chennai,West Bengal
O000051,11010,2025-03-13,Cancelled,Net Banking,Delhi,Haryana
O000052,10377,2024-05-15,Delivered,Debit Card,Mumbai,Tamil Nadu
O000053,11075,2024-07-01,Delivered,Credit Card,Hyderabad,West Bengal
O000054,10154,2025-12-09,Delivered,Debit Card,Jaipur,West Bengal
O000055,10582,2024-06-20,Delivered,COD,Mumbai,Uttar Pradesh
O000056,10788,2025-08-12,Delivered,Debit Card,Ludhiana,Gujarat
O000057,10791,2025-11-20,Delivered,Debit Card,Gurugram,Karnataka
O000058,12182,2025-06-22,Delivered,Net Banking,Gurugram,Rajasthan
O000059,12268,2024-04-29,Returned,Debit Card,Jaipur,Tamil Nadu
O000060,10163,2024-10-07,Delivered,Debit Card,Kolkata,West Bengal
O000061,10971,2024-11-03,Delivered,Credit Card,Bengaluru,Punjab
O000062,10648,2025-12-08,Delivered,Debit Card,Chennai,Karnataka
O000063,11526,2024-10-03,Delivered,Net Banking,Ludhiana,Uttar Pradesh
O000064,10946,2025-06-13,Delivered,Net Banking,Ahmedabad,Delhi
O000065,10689,2024-10-21,Delivered,COD,Kolkata,Gujarat
O000066,12163,2024-02-22,Cancelled,Credit Card,Gurugram,Uttar Pradesh
O000067,11523,2025-03-07,Delivered,UPI,Lucknow,Kerala
O000068,11496,2024-02-21,Delivered,COD,Jaipur,Punjab
O000069,12048,2025-12-28,Delivered,Debit Card,Kolkata,Telangana
O000070,11173,2024-03-12,Delivered,Credit Card,Bengaluru,Telangana
O000071,10123,2024-01-28,Delivered,COD,Lucknow,Uttar Pradesh
O000072,10804,2025-04-13,Shipped,Net Banking,Delhi,Karnataka
O000073,11093,2025-06-30,Delivered,Credit Card,Mumbai,Tamil Nadu
O000074,10063,2025-02-04,Delivered,Credit Card,Jaipur,Karnataka
O000075,10733,2024-07-19,Delivered,Debit Card,Gurugram,Delhi
O000076,11658,2025-09-02,Returned,Credit Card,Ahmedabad,Telangana
O000077,10948,2025-04-10,Delivered,Credit Card,Ludhiana,Gujarat
O000078,12265,2025-10-13,Delivered,UPI,Delhi,West Bengal
O000079,10479,2025-08-17,Delivered,Debit Card,Ludhiana,Delhi
O000080,11138,2025-07-13,Shipped,Credit Card,Delhi,Telangana
O000081,11997,2025-01-13,Delivered,Credit Card,Kolkata,Rajasthan
O000082,11404,2024-06-25,Delivered,UPI,Jaipur,Maharashtra
O000083,10977,2024-02-21,Shipped,UPI,Mumbai,Karnataka
O000084,10237,2024-03-19,Delivered,Net Banking,Jaipur,Maharashtra
O000085,11955,2025-01-19,Delivered,Debit Card,Lucknow,Telangana
O000086,10598,2025-07-29,Delivered,UPI,Bengaluru,Uttar Pradesh
O000087,11703,2024-01-08,Delivered,Credit Card,Delhi,Maharashtra
O000088,12177,2024-08-01,Delivered,UPI,Delhi,Punjab
O000089,10165,2024-01-25,Delivered,COD,Gurugram,Punjab
O000090,12325,2025-03-25,Returned,Net Banking,Ludhiana,Karnataka
O000091,12305,2025-04-01,Delivered,Net Banking,Delhi,Tamil Nadu
O000092,10570,2025-04-05,Delivered,Debit Card,Mumbai,Maharashtra
O000093,10141,2024-07-16,Shipped,Net Banking,Ahmedabad,Telangana
O000094,10686,2024-04-03,Delivered,Debit Card,Jaipur,Delhi
O000095,10687,2025-12-19,Delivered,COD,Ahmedabad,Maharashtra
O000096,12039,2025-03-12,Delivered,Credit Card,Gurugram,Kerala
O000097,11075,2025-06-10,Delivered,COD,Kolkata,Karnataka
O000098,11527,2025-11-20,Cancelled,Debit Card,Lucknow,Gujarat
O000099,11283,2025-01-12,Delivered,Debit Card,Ludhiana,Karnataka
O000100,12226,2025-08-09,Delivered,Debit Card,Delhi,Kerala
O000101,10922,2024-04-13,Cancelled,Credit Card,Kochi,Delhi
O000102,11342,2025-11-10,Delivered,Debit Card,Hyderabad,Delhi
O000103,11690,2025-09-18,Delivered,COD,Ludhiana,Kerala
O000104,10364,2024-02-08,Delivered,Credit Card,Gurugram,Delhi
O000105,11079,2025-04-02,Delivered,COD,Lucknow,Delhi
O000106,11068,2024-12-29,Delivered,Credit Card,Jaipur,Tamil Nadu
O000107,12031,2024-05-14,Delivered,Debit Card,Chennai,Karnataka
O000108,12370,2025-01-08,Delivered,Credit Card,Bengaluru,Uttar Pradesh
O000109,12062,2024-08-19,Delivered,UPI,Chennai,Uttar Pradesh
O000110,11381,2024-02-08,Delivered,COD,Delhi,Karnataka
O000111,11507,2024-02-16,Delivered,UPI,Ahmedabad,Rajasthan
O000112,10618,2024-02-05,Delivered,UPI,Delhi,Telangana
O000113,10359,2024-04-04,Delivered,Debit Card,Lucknow,Uttar Pradesh
O000114,11342,2024-12-26,Delivered,Debit Card,Ahmedabad,Tamil Nadu
O000115,11983,2025-06-08,Delivered,UPI,Bengaluru,Gujarat
O000116,11615,2024-05-25,Delivered,Credit Card,Gurugram,Telangana
O000117,10194,2025-01-02,Delivered,Debit Card,Lucknow,Telangana
O000118,10363,2024-03-05,Delivered,COD,Lucknow,Haryana
O000119,11120,2024-08-15,Delivered,UPI,Gurugram,Punjab
O000120,11064,2025-06-03,Delivered,COD,Hyderabad,Tamil Nadu
O000121,12445,2025-07-08,Cancelled,COD,Delhi,West Bengal
O000122,10107,2024-06-29,Shipped,COD,Ludhiana,Uttar Pradesh
O000123,10527,2025-05-15,Delivered,UPI,Ludhiana,Kerala
O000124,11953,2025-08-19,Delivered,Net Banking,Gurugram,Rajasthan
O000125,10784,2024-06-03,Delivered,Debit Card,Kolkata,Maharashtra
O000126,11783,2025-06-18,Cancelled,COD,Lucknow,Telangana
O000127,11750,2025-09-18,Cancelled,UPI,Hyderabad,Haryana
O000128,11067,2025-03-10,Delivered,Net Banking,Mumbai,Karnataka
O000129,11866,2024-04-08,Shipped,UPI,Chennai,Punjab
O000130,12398,2025-09-07,Delivered,Debit Card,Ahmedabad,Delhi
O000131,11465,2025-01-06,Delivered,UPI,Delhi,Maharashtra
O000132,11006,2025-07-16,Shipped,Credit Card,,West Bengal
O000133,11635,2024-12-27,Delivered,Credit Card,Ahmedabad,Uttar Pradesh
O000134,10094,2024-04-21,Shipped,COD,Chennai,Telangana
O000135,12044,2025-03-28,Delivered,UPI,Bengaluru,Delhi
O000136,10089,2024-06-17,Delivered,UPI,Lucknow,Rajasthan
O000137,11954,2025-08-06,Delivered,COD,Lucknow,Telangana
O000138,12042,2024-05-18,Delivered,COD,Ahmedabad,Gujarat
O000139,12262,2024-08-18,Delivered,Net Banking,Lucknow,Gujarat
O000140,11446,2024-08-26,Delivered,UPI,Lucknow,Delhi
O000141,10526,2024-09-09,Delivered,Debit Card,Gurugram,West Bengal
O000142,12240,2025-03-11,Delivered,Debit Card,Kolkata,West Bengal
O000143,11831,2025-07-14,Shipped,Debit Card,Ludhiana,Rajasthan
O000144,10555,2025-02-25,Delivered,COD,Jaipur,Karnataka
O000145,12435,2024-10-29,Delivered,COD,Bengaluru,Tamil Nadu
O000146,10681,2024-03-12,Delivered,COD,Ludhiana,Telangana
O000147,11498,2024-09-19,Delivered,Debit Card,Jaipur,Maharashtra
O000148,11632,2024-08-09,Delivered,Net Banking,Delhi,Uttar Pradesh
O000149,10203,2024-03-17,Delivered,Credit Card,Kolkata,Haryana
O000150,10447,2024-03-02,Delivered,UPI,Kochi,Rajasthan
O000151,11116,2025-04-15,Delivered,Credit Card,Lucknow,Haryana
O000152,10778,2024-06-05,Delivered,UPI,Delhi,Karnataka
O000153,12226,2024-05-04,Returned,COD,Bengaluru,Haryana
O000154,11687,2024-06-09,Delivered,Debit Card,Mumbai,Punjab
O000155,10829,2025-06-24,Shipped,Credit Card,Mumbai,Kerala
O000156,10559,2025-09-17,Delivered,COD,Ahmedabad,Uttar Pradesh
O000157,12023,2025-08-13,Delivered,UPI,Mumbai,Delhi
O000158,10103,2025-06-18,Delivered,Credit Card,Ludhiana,Delhi
O000159,11297,2024-04-15,Cancelled,Credit Card,Lucknow,Karnataka
O000160,11558,2024-05-10,Delivered,Credit Card,Jaipur,West Bengal
O000161,10116,2024-12-22,Delivered,Credit Card,Hyderabad,Delhi
O000162,10859,2025-11-15,Delivered,Credit Card,Gurugram,West Bengal
O000163,10104,2024-01-02,Delivered,COD,Jaipur,Haryana
O000164,12307,2024-08-20,Cancelled,UPI,Ludhiana,Telangana
O000165,11332,2025-01-03,Shipped,UPI,Jaipur,Kerala
O000166,10929,2024-09-07,Shipped,Net Banking,Hyderabad,West Bengal
O000167,10807,2024-04-17,Delivered,Debit Card,Lucknow,West Bengal
O000168,10560,2024-10-02,Cancelled,Credit Card,Gurugram,Telangana
O000169,12075,2024-06-28,Delivered,UPI,Kochi,Karnataka
O000170,10527,2025-12-25,Delivered,Debit Card,Bengaluru,Kerala
O000171,10953,2024-10-19,Shipped,Debit Card,Delhi,Delhi
O000172,10298,2025-08-06,Delivered,COD,Kochi,West Bengal
O000173,10777,2024-06-23,Delivered,Credit Card,Ahmedabad,Rajasthan
O000174,10361,2024-05-02,Delivered,Net Banking,Mumbai,Haryana
O000175,10504,2024-08-14,Delivered,Debit Card,Chennai,Rajasthan
O000176,11977,2025-03-19,Delivered,COD,Chennai,Karnataka
O000177,12078,2025-03-03,Delivered,Credit Card,Kochi,Haryana
O000178,11463,2024-03-23,Shipped,UPI,Jaipur,Delhi
O000179,12174,2025-10-19,Shipped,Net Banking,Kochi,Haryana
O000180,10596,2025-09-23,Returned,Credit Card,Gurugram,Maharashtra
O000181,11590,2024-03-05,Delivered,COD,Hyderabad,Telangana
O000182,11390,2024-10-07,Shipped,COD,Jaipur,Kerala
O000183,11876,2025-01-25,Shipped,COD,Chennai,Kerala
O000184,10263,2025-03-03,Delivered,COD,Lucknow,Kerala
O000185,11864,2025-09-09,Delivered,COD,Kolkata,Gujarat
O000186,10002,2024-04-16,Delivered,Net Banking,Mumbai,Delhi
O000187,11934,2025-07-01,Delivered,Debit Card,Ludhiana,Telangana
O000188,10394,2025-10-20,Delivered,Debit Card,Kolkata,West Bengal
O000189,10306,2024-09-18,Delivered,UPI,Ludhiana,Karnataka
O000190,11170,2024-06-07,Delivered,Debit Card,Gurugram,Haryana
O000191,10530,2024-09-21,Delivered,COD,Mumbai,Gujarat
