payment_id,order_id,payment_date,payment_method,payment_status
PAY0000001,O000001,2024-05-27,Net Banking,Paid
PAY0000002,O000002,2024-12-07,Debit Card,Paid
PAY0000003,O000003,2025-05-09,UPI,Paid
PAY0000004,O000004,2024-01-23,COD,Paid
PAY0000005,O000005,2024-04-14,Debit Card,Paid
PAY0000006,O000006,2025-11-05,Net Banking,Paid
PAY0000007,O000007,2025-08-01,UPI,Paid
PAY0000008,O000008,2025-07-11,UPI,Paid
PAY0000009,O000009,2025-08-15,Credit Card,Paid
PAY0000010,O000010,2025-10-20,Net Banking,Paid
PAY0000011,O000011,2024-08-09,UPI,Paid
PAY0000012,O000012,2024-01-15,Credit Card,Paid
PAY0000013,O000013,2025-09-24,Credit Card,Paid
PAY0000014,O000014,2024-03-18,Net Banking,Paid
PAY0000015,O000015,2024-11-17,UPI,Paid
PAY0000016,O000016,2024-08-28,UPI,Paid
PAY0000017,O000017,2024-01-18,COD,Paid
PAY0000018,O000018,2025-03-29,UPI,Paid
PAY0000019,O000019,2025-03-18,Credit Card,Paid
PAY0000020,O000020,2024-10-03,Debit Card,Paid
PAY0000021,O000021,2025-02-27,Net Banking,Refunded
PAY0000022,O000022,2025-04-20,Debit Card,Paid
PAY0000023,O000023,2024-01-27,UPI,Paid
PAY0000024,O000024,2025-05-28,Credit Card,Paid
PAY0000025,O000025,2025-04-08,Debit Card,Paid
PAY0000026,O000026,2024-12-28,Net Banking,Paid
PAY0000027,O000027,2025-01-17,COD,Paid
PAY0000028,O000028,2025-06-08,Debit Card,Paid
PAY0000029,O000029,2025-01-16,COD,Paid
PAY0000030,O000030,2024-07-02,UPI,Paid
PAY0000031,O000031,2024-07-12,UPI,Failed
PAY0000032,O000032,2025-04-06,Net Banking,Paid
PAY0000033,O000033,2024-02-25,COD,Paid
PAY0000034,O000034,2024-08-17,COD,Paid
PAY0000035,O000035,2025-05-03,Net Banking,Pending
PAY0000036,O000036,2024-01-28,Debit Card,Pending
PAY0000037,O000037,2025-08-05,Net Banking,Paid
PAY0000038,O000038,2025-12-22,UPI,Paid
PAY0000039,O000039,2024-07-02,COD,Paid
PAY0000040,O000040,2025-02-28,Credit Card,Paid
PAY0000041,O000041,2025-01-09,Credit Card,Paid
PAY0000042,O000042,2024-02-10,UPI,Paid
PAY0000043,O000043,2025-04-28,COD,Refunded
PAY0000044,O000044,2024-09-16,COD,Paid
PAY0000045,O000045,2025-03-16,Net Banking,Paid
PAY0000046,O000046,2024-03-24,Debit Card,Failed
PAY0000047,O000047,2024-02-15,Net Banking,Paid
PAY0000048,O000048,2025-03-15,Credit Card,Paid
PAY0000049,O000049,2025-11-01,COD,Paid
PAY0000050,O000050,2025-06-02,Debit Card,Paid
PAY0000051,O000051,2025-03-13,Net Banking,Failed
PAY0000052,O000052,2024-05-15,Debit Card,Paid
PAY0000053,O000053,2024-07-01,Credit Card,Paid
PAY0000054,O000054,2025-12-09,Debit Card,Pending
PAY0000055,O000055,2024-06-20,COD,Paid
PAY0000056,O000056,2025-08-12,Debit Card,Paid
PAY0000057,O000057,2025-11-20,Debit Card,Pending
PAY0000058,O000058,2025-06-22,Net Banking,Refunded
PAY0000059,O000059,2024-04-29,Debit Card,Paid
PAY0000060,O000060,2024-10-07,Debit Card,Pending
PAY0000061,O000061,2024-11-03,Credit Card,Paid
PAY0000062,O000062,2025-12-08,Debit Card,Paid
PAY0000063,O000063,2024-10-03,Net Banking,Paid
PAY0000064,O000064,2025-06-13,Net Banking,Paid
PAY0000065,O000065,2024-10-21,COD,Paid
PAY0000066,O000066,2024-02-22,Credit Card,Failed
PAY0000067,O000067,2025-03-07,UPI,Paid
PAY0000068,O000068,2024-02-21,COD,Paid
PAY0000069,O000069,2025-12-28,Debit Card,Paid
PAY0000070,O000070,2024-03-12,Credit Card,Paid
PAY0000071,O000071,2024-01-28,COD,Paid
PAY0000072,O000072,2025-04-13,Net Banking,Refunded
PAY0000073,O000073,2025-06-30,Credit Card,Paid
PAY0000074,O000074,2025-02-04,Credit Card,Paid
PAY0000075,O000075,2024-07-19,Debit Card,Paid
PAY0000076,O000076,2025-09-02,Credit Card,Paid
PAY0000077,O000077,2025-04-10,Credit Card,Paid
PAY0000078,O000078,2025-10-13,UPI,Paid
PAY0000079,O000079,2025-08-17,Debit Card,Paid
PAY0000080,O000080,2025-07-13,Credit Card,Paid
PAY0000081,O000081,2025-01-13,Credit Card,Paid
PAY0000082,O000082,2024-06-25,UPI,Paid
