product_id,product_name,category,brand,unit_price,supplier,stock_quantity
P0001,Dumbbells,Sports,FitPro,999999.99,Supplier_D,46
P0002,Smartwatch,Electronics,TechMax,46464.24,Supplier_B,281
P0003,Jeans,Clothing,TechMax,19021.82,Supplier_B,339
P0004,Lamp,Home,Zenix,23290.06,Supplier_A,361
P0005,Jeans,Clothing,UrbanStyle,4607.41,Supplier_D,91
P0006,Laptop,Electronics,,30527.16,Supplier_A,375
P0007,Football,Sports,Amazon Basics,14551.96,Supplier_B,211
P0008,T-Shirt,Clothing,UrbanStyle,8182.39,Supplier_C,74
P0009,Tablet,Electronics,Amazon Basics,27316.66,Supplier_C,377
P0010,Smartphone,Electronics,FitPro,26708.05,Supplier_C,201
P0011,Moisturizer,Beauty,Zenix,3977.41,Supplier_B,444
P0012,Running Shoes,Sports,Zenix,34970.13,Supplier_A,406
P0013,Dumbbells,Sports,FitPro,31262.86,Supplier_D,420
P0014,Jeans,Clothing,TechMax,9612.06,Supplier_B,296
P0015,Guide,Books,Nova,23576.86,Supplier_C,307
P0016,Perfume,Beauty,Nova,36071.08,Supplier_A,210
P0017,Yoga Mat,Sports,UrbanStyle,26564.9,Supplier_D,492
P0018,Headphones,Electronics,TechMax,19894.36,Supplier_D,337
P0019,Football,Sports,Amazon Basics,16251.46,Supplier_B,432
P0020,Novel,Books,Zenix,30596.61,Supplier_B,410
P0021,Chair,Home,UrbanStyle,46966.61,Supplier_D,133
P0022,Vacuum Cleaner,Home,FitPro,33651.89,Supplier_D,329
P0023,Running Shoes,Sports,TechMax,3921.35,Supplier_C,65
P0024,Yoga Mat,Sports,Zenix,23141.11,Supplier_D,279
P0025,Moisturizer,Beauty,Amazon Basics,44562.04,Supplier_B,421
P0026,Football,Sports,Amazon Basics,4903.23,Supplier_A,27
P0027,Comics,Books,Nova,49445.01,Supplier_C,411
P0028,Cricket Bat,Sports,UrbanStyle,47462.66,Supplier_C,116
P0029,T-Shirt,Clothing,,4097.07,Supplier_D,492
P0030,Guide,Books,Zenix,46682.98,Supplier_A,369
P0031,Makeup,Beauty,Amazon Basics,18283.0,Supplier_C,486
P0032,Jeans,Clothing,Zenix,42265.52,Supplier_B,449
P0033,Jacket,Clothing,FitPro,21034.49,Supplier_D,316
P0034,Mixer,Home,Zenix,22153.58,Supplier_B,429
P0035,Textbook,Books,,31784.31,Supplier_D,324
P0036,Dress,Clothing,Nova,38767.98,Supplier_C,113
P0037,Makeup,Beauty,Zenix,1881.7,Supplier_D,74
P0038,Mixer,Home,TechMax,29738.17,Supplier_A,201
P0039,Dress,Clothing,Nova,9498.3,Supplier_B,426
P0040,Guide,Books,FitPro,17427.29,Supplier_A,58
P0041,Cookware,Home,Nova,17527.84,Supplier_B,385
P0042,Biography,Books,Zenix,23558.2,Supplier_B,14
P0043,Guide,Books,Zenix,16838.99,Supplier_D,230
P0044,Comics,Books,TechMax,5545.58,Supplier_C,104
P0045,Lamp,Home,Amazon Basics,7451.31,Supplier_C,164
P0046,Dress,Clothing,TechMax,1864.21,Supplier_A,198
P0047,Football,Sports,Zenix,23617.4,Supplier_D,403
P0048,Tablet,Electronics,Nova,47730.5,Supplier_C,353
P0049,T-Shirt,Clothing,TechMax,5959.63,Supplier_B,34
P0050,Cookware,Home,TechMax,47322.97,Supplier_B,161
P0051,Smartwatch,Electronics,Amazon Basics,36720.4,Supplier_D,244
P0052,Headphones,Electronics,Zenix,31946.44,Supplier_A,469
P0053,Laptop,Electronics,Zenix,32333.83,Supplier_D,286
P0054,Dumbbells,Sports,FitPro,41370.04,Supplier_A,382
P0055,Shampoo,Beauty,Amazon Basics,5523.61,Supplier_D,470
P0056,Cookware,Home,FitPro,25335.77,Supplier_B,18
P0057,Yoga Mat,Sports,FitPro,34914.14,Supplier_D,451
