return_id,order_id,customer_id,return_date,return_reason,refund_amount
R00001,O000018,11974,2025-04-03,Changed Mind,2585.23
R00002,O000023,10199,2024-02-04,Changed Mind,19034.06
R00003,O000059,12268,2024-05-24,Quality Issue,10740.29
R00004,O000076,11658,2025-10-01,Quality Issue,14616.3
R00005,O000090,12325,2025-04-16,Wrong Item,6541.85
R00006,O000153,12226,2024-05-26,Wrong Item,28615.41
R00007,O000180,10596,2025-10-12,Wrong Item,19976.44
R00008,O000209,10038,2025-08-25,Damaged,6215.73
R00009,O000220,11042,2025-12-09,Changed Mind,14814.73
R00010,O000230,11000,2025-11-11,Late Delivery,4828.8
R00011,O000238,11112,2024-12-22,Changed Mind,27303.44
R00012,O000253,10780,2024-10-02,Quality Issue,14233.85
R00013,O000266,11978,2025-02-12,Late Delivery,2403.01
R00014,O000297,11478,2024-03-12,Damaged,4695.57
R00015,O000322,12464,2025-08-30,Late Delivery,15036.38
R00016,O000326,11725,2024-11-06,Late Delivery,6057.7
R00017,O000357,10447,2025-05-07,Late Delivery,21390.73
R00018,O000380,11943,2024-06-24,Changed Mind,12890.47
R00019,O000406,10394,2024-06-13,Changed Mind,17018.13
R00020,O000416,12262,2024-01-27,Wrong Item,18621.49
R00021,O000422,11569,2024-11-27,Late Delivery,28451.75
R00022,O000443,11272,2024-12-21,Changed Mind,28020.32
R00023,O000446,12181,2025-12-02,Damaged,11400.97
R00024,O000464,10955,2024-09-11,Changed Mind,26894.94
R00025,O000488,10351,2024-07-21,Quality Issue,29820.52
R00026,O000492,10117,2024-07-11,Late Delivery,26419.76
R00027,O000503,11029,2024-11-23,Wrong Item,1714.58
R00028,O000516,12467,2024-06-12,Late Delivery,9948.87
R00029,O000539,11068,2024-09-22,Quality Issue,3467.86
R00030,O000543,12309,2025-09-19,Quality Issue,20582.41
R00031,O000549,11828,2025-03-25,Changed Mind,10616.75
R00032,O000551,10951,2025-08-18,Quality Issue,5818.54
R00033,O000557,11356,2026-01-07,Late Delivery,6375.32
R00034,O000558,11593,2025-04-17,Damaged,11379.06
R00035,O000562,12211,2024-07-08,Wrong Item,17947.58
R00036,O000570,10255,2024-08-26,Damaged,20492.22
R00037,O000632,11177,2025-11-27,Damaged,847.79
R00038,O000637,11173,2025-03-07,Quality Issue,29440.0
R00039,O000640,11350,2025-02-08,Changed Mind,1414.33
R00040,O000645,10498,2025-04-07,Damaged,29408.66
R00041,O000648,11364,2024-09-19,Quality Issue,8212.74
R00042,O000653,10936,2024-11-28,Damaged,26789.64
R00043,O000667,10927,2024-02-28,Damaged,26428.68
R00044,O000671,10932,2025-01-20,Late Delivery,14625.67
R00045,O000685,10195,2025-07-31,Late Delivery,22583.74
R00046,O000724,10134,2024-10-14,Late Delivery,20004.72
R00047,O000732,11462,2024-07-14,Damaged,24692.99
R00048,O000740,12229,2024-12-24,Changed Mind,16770.57
R00049,O000772,11612,2025-02-13,Wrong Item,10229.77
R00050,O000807,11797,2025-04-19,Quality Issue,12641.84
R00051,O000808,10179,2024-12-22,Changed Mind,4353.21
R00052,O000826,11420,2024-02-17,Wrong Item,8751.63
R00053,O000830,10347,2026-01-05,Changed Mind,29028.4
R00054,O000851,10756,2024-08-05,Wrong Item,12992.55
R00055,O000854,12072,2024-01-31,Late Delivery,21462.35
R00056,O000881,10603,2024-11-25,Quality Issue,9462.41
R00057,O000886,11699,2024-06-16,Changed Mind,21642.02
R00058,O000889,12286,2024-09-29,Changed Mind,14409.23
R00059,O000915,11453,2025-09-13,Wrong Item,23707.35
R00060,O000922,11861,2024-11-20,Quality Issue,12097.14
R00061,O000928,10608,2025-10-15,Damaged,28939.45
R00062,O000952,10409,2025-09-14,Wrong Item,5689.08
R00063,O000962,12413,2025-12-06,Wrong Item,15262.97
R00064,O000964,12242,2025-07-16,Changed Mind,5096.23
R00065,O000986,10280,2024-12-01,Wrong Item,8043.03
R00066,O001001,11135,2025-02-14,Late Delivery,15674.39
R00067,O001018,10545,2025-10-17,Quality Issue,5421.22
R00068,O001019,10392,2025-12-19,Wrong Item,3426.01
R00069,O001023,10297,2024-05-23,Wrong Item,25450.7
R00070,O001026,10270,2024-10-30,Late Delivery,11092.95
R00071,O001036,10229,2024-05-11,Wrong Item,21402.84
R00072,O001041,12230,2025-12-03,Late Delivery,14489.49
R00073,O001051,10454,2025-02-11,Wrong Item,22435.2
R00074,O001054,11166,2025-08-14,Changed Mind,8002.47
R00075,O001060,10953,2025-05-31,Wrong Item,3149.63
R00076,O001073,12408,2024-11-05,Changed Mind,15768.87
R00077,O001091,12442,2024-12-19,Late Delivery,19117.08
R00078,O001111,10625,2025-10-18,Wrong Item,28478.35
R00079,O001120,10353,2024-07-31,Quality Issue,23241.49
R00080,O001148,10087,2024-05-18,Wrong Item,26260.15
R00081,O001174,11345,2025-07-17,Changed Mind,21951.55
R00082,O001176,12432,2025-03-10,Wrong Item,29845.07
R00083,O001208,12215,2025-02-28,Wrong Item,22272.41
R00084,O001209,10709,2025-09-25,Changed Mind,19668.06
R00085,O001216,11261,2025-08-02,Damaged,9639.19
R00086,O001234,11665,2025-11-01,Wrong Item,7558.62
R00087,O001246,10907,2025-09-23,Quality Issue,8516.38
R00088,O001248,10089,2025-08-15,Wrong Item,1006.54
R00089,O001260,10857,2024-09-24,Late Delivery,7181.69
R00090,O001285,11959,2025-11-19,Damaged,8705.53
R00091,O001295,12444,2025-02-17,Quality Issue,2750.69
R00092,O001303,12050,2025-08-15,Late Delivery,545.54
R00093,O001310,11835,2025-11-11,Quality Issue,15182.28
R00094,O001321,11184,2025-05-26,Damaged,5596.68
R00095,O001346,11034,2025-03-20,Damaged,7130.46
R00096,O001372,12100,2025-10-28,Quality Issue,29430.82
R00097,O001376,10921,2025-10-06,Quality Issue,4622.52
R00098,O001379,11818,2025-12-10,Changed Mind,1687.11
R00099,O001402,12425,2025-11-14,Late Delivery,24789.05
R00100,O001405,12252,2024-04-22,Quality Issue,8265.57
R00101,O001416,11474,2024-09-25,Late Delivery,15238.71
R00102,O001534,12452,2025-06-02,Damaged,25039.24
R00103,O001540,10285,2025-08-31,Damaged,15301.29
R00104,O001551,12224,2025-10-31,Quality Issue,26809.65
R00105,O001582,11705,2024-10-11,Late Delivery,19980.19
R00106,O001588,10998,2024-03-17,Damaged,18568.55
R00107,O001591,10260,2025-10-24,Changed Mind,22746.26
R00108,O001599,12014,2025-10-08,Late Delivery,6722.29
R00109,O001602,12411,2024-02-21,Late Delivery,5320.84
R00110,O001613,10301,2025-02-23,Late Delivery,25242.47
R00111,O001654,11642,2025-12-14,Late Delivery,27023.67
R00112,O001663,10803,2025-10-31,Late Delivery,4984.1
R00113,O001684,12115,2025-09-03,Changed Mind,16028.08
R00114,O001685,11555,2025-07-29,Damaged,5249.68
R00115,O001686,12020,2025-11-07,Late Delivery,1104.96
R00116,O001688,12146,2024-05-31,Late Delivery,15106.31
R00117,O001702,10605,2024-03-29,Late Delivery,18121.28
R00118,O001709,11577,2024-09-10,Damaged,14179.31
R00119,O001720,10488,2025-03-01,Quality Issue,23489.12
R00120,O001732,11356,2025-06-19,Damaged,7083.21
R00121,O001739,12010,2024-07-21,Late Delivery,27628.61
R00122,O001750,11099,2025-11-26,Damaged,16982.36
R00123,O001754,11653,2026-01-18,Wrong Item,16066.26
R00124,O001766,10441,2025-01-29,Quality Issue,13685.72
R00125,O001793,11996,2024-03-05,Changed Mind,6609.87
R00126,O001803,10477,2025-06-16,Wrong Item,8639.18
R00127,O001810,11165,2024-08-18,Late Delivery,16670.6
R00128,O001817,12034,2025-08-03,Changed Mind,22308.71
R00129,O001820,12417,2024-05-15,Changed Mind,4395.53
R00130,O001846,10356,2024-12-21,Quality Issue,15773.95
R00131,O001852,11046,2024-11-08,Damaged,1099.18
R00132,O001859,11345,2024-12-07,Damaged,5662.18
R00133,O001866,10957,2024-09-07,Damaged,24148.9
R00134,O001876,11148,2024-12-23,Damaged,8433.66
R00135,O001878,11877,2024-02-07,Wrong Item,8630.16
R00136,O001879,11614,2024-02-18,Late Delivery,16024.17
R00137,O001903,10389,2025-12-15,Changed Mind,11262.52
R00138,O001907,11503,2024-06-20,Late Delivery,25269.91
R00139,O001917,11304,2024-08-03,Late Delivery,13728.45
R00140,O001938,12134,2024-08-19,Quality Issue,25708.08
R00141,O001941,11881,2024-08-15,Quality Issue,466.19
R00142,O001958,11471,2025-02-28,Quality Issue,24292.7
R00143,O001967,11968,2024-02-27,Quality Issue,1065.2
R00144,O001971,11316,2024-02-29,Damaged,26112.01
R00145,O001993,11655,2025-06-05,Changed Mind,28558.59
R00146,O002016,10538,2024-09-01,Damaged,26611.47
R00147,O002045,11164,2024-07-09,Late Delivery,26748.42
R00148,O002072,11512,2024-09-25,Damaged,16693.35
R00149,O002073,12259,2025-10-08,Changed Mind,28413.68
R00150,O002074,10232,2025-02-23,Changed Mind,3791.07
R00151,O002087,11056,2025-05-21,Late Delivery,3537.9
R00152,O002099,12390,2024-06-28,Wrong Item,8419.77
R00153,O002106,12025,2024-09-14,Late Delivery,16480.07
R00154,O002110,10641,2025-12-23,Late Delivery,5208.82
R00155,O002150,11324,2024-11-09,Damaged,26377.12
R00156,O002157,10771,2025-04-26,Quality Issue,7963.71
R00157,O002164,11820,2025-04-10,Wrong Item,27458.45
R00158,O002172,11224,2026-01-16,Quality Issue,8726.59
R00159,O002206,10604,2026-01-13,Late Delivery,4328.25
R00160,O002232,11265,2025-02-12,Wrong Item,22339.71
R00161,O002257,11715,2025-09-24,Damaged,1721.78
R00162,O002270,11821,2025-12-28,Late Delivery,23403.37
R00163,O002275,11454,2024-05-17,Late Delivery,28048.8
R00164,O002327,11229,2025-02-01,Changed Mind,7087.79
R00165,O002428,12301,2024-02-21,Damaged,24443.46
R00166,O002443,11762,2024-06-05,Damaged,27563.34
R00167,O002447,10657,2025-02-06,Late Delivery,9836.15
R00168,O002450,12314,2025-01-24,Wrong Item,23415.99
R00169,O002456,12403,2025-08-30,Wrong Item,3168.5
R00170,O002483,10848,2024-04-03,Quality Issue,26000.11
R00171,O002498,11823,2025-07-27,Changed Mind,14061.37
R00172,O002502,11316,2024-06-18,Changed Mind,7584.47
R00173,O002543,11528,2024-04-24,Quality Issue,15885.2
R00174,O002547,12246,2024-09-28,Quality Issue,7870.74
R00175,O002553,11819,2025-02-03,Quality Issue,23971.41
R00176,O002581,12020,2025-05-07,Damaged,9789.35
R00177,O002587,11358,2025-01-19,Quality Issue,2378.67
R00178,O002604,11338,2024-04-02,Damaged,1244.62
R00179,O002613,10329,2024-12-04,Damaged,7949.99
R00180,O002646,10162,2024-10-09,Late Delivery,16056.91
R00181,O002653,12168,2025-05-14,Changed Mind,19123.54
R00182,O002687,11288,2025-03-03,Wrong Item,15283.48
R00183,O002691,11548,2024-02-26,Damaged,21018.21
R00184,O002707,12058,2024-06-03,Changed Mind,20497.3
R00185,O002723,12431,2025-03-15,Changed Mind,17309.1
R00186,O002741,11311,2024-03-24,Changed Mind,20520.2
R00187,O002746,10474,2025-03-22,Quality Issue,25882.13
R00188,O002747,11405,2025-01-11,Damaged,1400.85
R00189,O002766,10895,2024-10-05,Quality Issue,25018.86
R00190,O002783,10497,2024-06-18,Quality Issue,10808.83
R00191,O002810,12036,2024-05-31,Late Delivery,9305.46
R00192,O002818,12480,2024-10-14,Quality Issue,25921.26
R00193,O002819,11921,2024-06-28,Changed Mind,18285.1
R00194,O002825,11927,2024-08-14,Wrong Item,1945.53
R00195,O002859,11613,2025-08-07,Quality Issue,5880.57
R00196,O002895,10547,2024-02-20,Changed Mind,28077.73
R00197,O002898,11587,2025-06-04,Quality Issue,12492.41
R00198,O002900,11764,2025-08-06,Quality Issue,8329.85
R00199,O002924,11562,2024-05-06,Quality Issue,6097.16
R00200,O002933,12103,2025-06-27,Quality Issue,16788.37
R00201,O002936,10856,2025-12-21,Wrong Item,29050.71
R00202,O002950,12242,2025-10-31,Wrong Item,4200.17
R00203,O002951,11543,2025-02-15,Late Delivery,7330.06
